content_id,product_ids,lengths
d228,"['f31c', 'f2ad', 'f447', 'f5b1', 'f34b', 'f4dd']",6
d22a,['3156'],1
d246,['e0a5'],1
d256,['8b9a'],1
d258,['8865'],1
d25b,['9c86'],1
d25d,"['de0a', 'ddf7', 'ddc7', 'de5d']",4
d931,['f587'],1
d934,['8be6'],1
d937,"['ed4a', 'ed4d']",2
4012,['1f61'],1
4089,"['4cd7', '4de1', '4d02', '4d0f', '4768', '4775', '4c6d', '4d36']",8
40d1,"['8865', '888a']",2
414a,"['9cf3', '9cf6', '9cf9']",3
415b,"['9c86', '9bcd', '9c1a', '9c65', '9c7b', '9ba7', '9b9c', '9b91']",8
4166,['f587'],1
419c,"['0662', '02f7', '032b', '0689', '0657', '060d']",6
4694,['9971'],1
46ae,['01cc'],1
46dd,"['f51f', 'f518', 'f51b', 'f504']",4
46e3,"['9cf0', '9cf3']",2
46e9,"['9956', '9989', 'e0dc']",3
46f4,"['f38e', 'f09e', 'f00b', 'efc7', 'f425', 'ef15', 'f284', 'f435', 'effe']",9
4706,"['8972', 'b7e3', '8865', '6b23', '6fac', 'c554', '59a7', 'f562', '68b2', '22ad']",10
4714,"['049f', '0628', '0662', '0500', '06d1', '02f7', '0673']",7
afad,['9c65'],1
afb0,['8bc3'],1
afb5,"['e9b7', '9432']",2
afcb,['ddd7'],1
afd2,['1f75'],1
afd6,['f018'],1
afeb,"['9a4f', '9ade', '9c91', '9cb2']",4
b002,['8be6'],1
b20b,['f165'],1
b32d,"['60ae', '60ba']",2
b32f,['5fc4'],1
b34b,['049f'],1
b372,"['eeac', 'eec9', 'eff1', 'f148', 'ef2f', 'f0b7', 'f018', 'eee3']",8
b378,"['b7cb', 'b7d4', 'b7ce', 'b7d1', 'b7d7', 'b7e0', 'b7dd', 'b7da', 'b7c8', 'b7c5', 'b7bf', 'b7c2', 'b7bc', 'bd4d', 'bd4a', 'bd35', 'bd2e']",17
b383,"['6180', '61aa']",2
b39d,"['e19c', 'e2dd', 'e2a7', 'e16a', 'e0eb', 'e1ce', 'e3b2', 'e248']",8
b3a0,"['9658', '965f', '967e', '9671', '966b']",5
b3a9,"['3de8', '3dbd']",2
b638,"['f284', 'f38e', 'ef2f', 'effe', 'ef15']",5
b657,"['8865', '8875']",2
b65b,['f4a5'],1
b687,['ff38'],1
b6b8,"['300d', '315c', '0eb2', '3037', '0eef', '0f32']",6
b6ba,['f586'],1
b6df,['b90c'],1
b6e4,['f165'],1
bc65,['886c'],1
bc67,"['8abe', '8af4', '8b13', '8acf', '8ae2']",5
bc8c,"['9d23', '9d1e', 'fe18', '62c3', '3ec1']",5
bce5,"['9cf0', '9d14', '9d53', '9d1d', '9d4f', '9d49', '9d1a', '9d4c', '9d26']",9
bce9,"['8842', '888a', '886c', '887e', '8875']",5
bcef,"['9d0e', '22a1', '9d17', '9d0b']",4
bcf5,"['9d1d', '9d1a']",2
bcfa,"['8972', '8875', '894a']",3
bd10,"['5f45', '5f7e', '5f5b', '5fb2', '5fc4']",5
bd14,"['9cf0', '9cf3']",2
bd68,"['22a1', '9d0e', '9d17', '9d0b']",4
c138,"['e9b0', '9d11', '3ee8']",3
c13b,"['ea3f', 'fe08', '22a7']",3
c169,"['9cc3', '9cd5', '9ccc', '9c46', '9bff', '9c11', '9c08']",7
c1ee,"['62c3', '3ee8', '3ec1', '6180', '61aa', '6162', '60cd', '61f5', '947f', 'e9b7', 'e9b0', '949e', '6213']",13
c23d,"['fdf2', 'fe3a', 'fe08', 'fe4b', 'fd95', 'fe29']",6
c266,['12f5'],1
c26b,['10ca'],1
c82d,"['89e7', '8a15', '89b1', '89d0', '8a1c']",5
c871,"['ee9e', 'ee9d', 'ee9f', 'eea1', 'eea0']",5
c873,"['9cf0', '9d1d', '9d49', '9d14', '9d1a', '9cf3']",6
c879,"['00b3', 'e932', '295e', '29b7', 'e9c6', 'e9e2', '29c4']",7
c87f,"['9d26', '9d4f', '9d53', '9d4c']",4
c885,"['9d14', '9d49', '9d1d', '9d1a']",4
cd90,"['fd27', 'fd4c', 'fd3b', 'fd6a', 'fd60', 'fd58', 'fd2b', 'fd3f', 'fd53']",9
cdab,"['88dd', '88c5', '88cd', '88ed']",4
cdb1,"['02f3', '0314', '035a', '0391', '0399', '030a', '033b', '0343']",8
cdba,['9cfc'],1
d55d,"['df5a', 'dfda', 'dfc2', 'dec2', 'df40', 'df2b', 'de84', 'ded9']",8
d56d,"['3000', 'ffe9', 'f6dd']",3
d571,"['8be6', '8bde', '8ba1', '8c0f', '8c1b', '8bc3', '8bd3', '882d']",8
d578,"['9d29', '9cfc', '9d43']",3
d57a,"['5fc4', '5f90', '5fb2', '5fa1', '5fd6']",5
d57e,['9d02'],1
d882,"['856e', '8548', '433e', '85e7', '4400', '43db', '43ec', '4350', '8536']",9
d88d,"['9d14', '9d49']",2
d897,"['88ed', '8896', '88c5']",3
d89c,"['2e5b', '2e04', '2e47', '5e0f']",4
d8a2,"['9d39', '9cfc', '9d05', '9cff']",4
d8a4,['88cd'],1
d8a6,"['fafa', 'fb81', 'fb10', 'fb27', 'fb55', 'fc1b']",6
dc67,['9d29'],1
dc78,"['894a', '88e5', '888a', '883a', '8865']",5
dc7c,"['9d29', '9d02']",2
